gene,0,1,2,3,4,5,6
INTS11,-0.14475738,0.03730465,0.054334514,-0.05442908,0.072244875,0.28294757,-0.28369713
AL139287.1,0.023087058,-0.018260356,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
CPTP,-0.085966095,-0.06576065,0.07611445,-0.06787022,0.057161257,0.30201727,-0.14109229
TAS1R3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVL1,-0.0755831,0.04493059,0.043372385,-0.075035825,0.008827047,0.15659916,-0.08479318
MXRA8,-0.025812762,-0.025812855,-0.025812823,0.04500342,-0.02581272,0.08622441,-0.025812646
AURKAIP1,-0.20415772,-0.0053844466,0.1496268,-0.07149797,0.15644248,0.25059295,-0.25929427
CCNL2,-0.10088056,0.026316123,0.0682379,-0.06319811,0.055633623,0.23444888,-0.39005768
MRPL20-AS1,-0.09021633,0.049170107,0.023205865,-0.09724003,0.09367583,0.16695715,-0.16497225
MRPL20,-0.17685966,-0.058777876,0.13084878,-0.10653924,0.11417779,0.42484623,-0.1964922
AL391244.2,-0.017407,0.043358557,0.029304761,-0.06329974,0.05592387,-0.06330006,-0.06330009
ANKRD65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL391244.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM88B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01770,-0.018260289,0.032877713,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
VWA1,-0.025790546,-0.025790451,0.03184006,-0.025790542,0.052605588,-0.025790658,-0.025790593
ATAD3C,-0.044404533,0.039039142,0.046516437,-0.093322374,-0.009250656,0.13655318,-0.09332183
ATAD3B,-0.061830573,0.04689792,-0.019276777,-0.124311745,0.07160788,0.2019895,-0.016087892
ATAD3A,-0.09805327,-0.009947233,0.053446434,-0.05109939,0.07070488,0.17908596,-0.04699465
TMEM240,-0.018260289,-0.018260356,-0.0182604,0.05253722,-0.018260477,-0.018260475,-0.018260472
SSU72,-0.14553821,-0.030469187,0.2599646,-0.13028564,0.045768116,0.23990127,-0.4275279
AL645728.1,0.004018003,0.017612604,-0.057953488,-0.031698167,0.049796067,0.1065911,-0.19178268
FNDC10,-0.076145865,-0.023112608,0.05857086,-0.0061419145,0.11417341,0.028486772,-0.11583329
AL691432.4,-0.03766711,0.05956939,-0.004546531,-0.077445954,0.057928007,0.046149787,-0.07744586
AL691432.2,-0.037132215,0.0074669034,0.03014607,-0.022263927,0.007949776,0.082592316,-0.09855694
MIB2,-0.06160407,-0.049267977,0.038841136,-0.07556011,-0.008710813,0.39316827,-0.18429911
MMP23B,-0.07077384,-0.020386774,0.012928959,-0.03553396,0.04541177,0.22632653,-0.07077345
CDK11B,-0.046138443,0.029387826,-0.068866536,-0.038759105,0.06669064,0.21242586,-0.15459383
FO704657.1,0.05518564,-0.032984428,-0.030676387,0.018743414,-0.017462755,-0.0019476512,-0.060631264
SLC35E2B,-0.01011369,-0.081841804,0.021413477,0.041177563,-0.09258317,0.31219167,-0.2382168
CDK11A,-0.06986191,0.058977112,0.0020963799,-0.040227454,0.05818637,0.18707609,-0.44840932
SLC35E2A,-0.101330645,-0.022412071,0.08659178,-0.057938293,-0.00752896,0.29996204,-0.12592116
NADK,-0.12122718,-0.02990277,0.26159278,-0.09855755,0.097165376,0.050645214,-0.4413878
GNB1,-0.17522128,-0.04587666,0.24979156,0.0043245694,0.009683503,0.2326906,-0.48782653
AL109917.1,-0.031526607,-0.031526618,-0.031526625,0.039302435,-0.031526644,0.18950994,-0.0315268
CALML6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFAP74,-0.027636718,0.0400149,0.044456292,-0.0096470015,-0.05478405,0.012747811,-0.054783825
AL391845.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABRD,-0.031627614,-0.031627603,-0.031627595,0.110031,0.046783984,-0.031627543,-0.03162742
AL391845.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCZ,-0.023330629,-0.0019142837,0.018748017,-0.059557475,-0.04161827,0.23785141,-0.15841872
AL590822.2,0.01644278,-0.02016409,-0.042125832,-0.030466067,0.076138884,-0.021141095,0.12520686
PRKCZ-AS1,-0.018260289,-0.018260356,-0.0182604,0.052536927,-0.018260477,-0.018260475,-0.018260472
FAAP20,-0.15814611,-0.011807699,0.17381246,-0.13111863,-0.012352056,0.36430812,-0.06800828
AL590822.1,-0.011107186,0.024974054,-0.015263197,-0.0022591234,0.036547102,-0.019847643,-0.070718616
SKI,-0.09783342,0.0698063,0.05667379,-0.11140997,-0.036456656,0.28526092,-0.1636089
AL590822.3,-0.02581199,-0.025811955,-0.025811931,-0.02581188,0.052584525,0.08622454,-0.025811885
MORN1,-0.08126427,-0.019127332,0.05137917,0.007819412,0.011004725,0.17724304,-0.12860109
AL589739.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL513477.2,-0.031637233,0.0706845,0.026005052,-0.03163726,-0.031637266,-0.0316373,-0.03163741
RER1,-0.22008342,0.011458668,0.15757082,-0.07314423,0.15311429,0.24866442,-0.25902832
PEX10,-0.11402739,-0.0015122537,-0.04951724,-0.05354458,0.22356609,0.21732703,-0.12995955
PLCH2,-0.057731625,-0.026435528,-0.057731625,-0.057731625,-0.057731625,0.51975465,-0.057731617
AL139246.1,-0.018260289,-0.018260356,-0.0182604,-0.018260477,-0.018260477,0.09374782,-0.018260472
AL139246.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PANK4,-0.09143576,0.04089665,0.083021164,-0.06320915,0.020040374,0.07749821,-0.02802291
HES5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL139246.5,-0.11406332,-0.020286463,0.0090671955,-0.0385867,0.1490348,0.21635629,-0.09677212
TNFRSF14-AS1,-0.053688988,0.0061360667,0.047984168,-0.04416023,0.030393431,0.11461271,-0.14729492
TNFRSF14,-0.18996467,0.0053076535,0.13636117,-0.07133941,0.117153324,0.27137655,-0.26217186
AL139246.3,0.002742837,-0.023166252,0.044860907,-0.054663956,-0.054663885,0.13905664,-0.05466366
PRXL2B,-0.09569921,0.011001747,0.03379484,-0.055940263,-0.0074543087,0.3094504,-0.12162432
MMEL1,-0.054710314,0.01081349,-0.016381029,-0.05471026,0.044086885,0.19829117,-0.05471009
AL831784.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTC34,-0.0028297552,-0.019971797,-0.035087585,-0.0058943057,-0.028671166,0.20468748,-0.10352887
AC242022.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC242022.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL592464.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL592464.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL592464.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL589702.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTRT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDM16-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDM16,0.00979589,-0.03156981,0.026072467,-0.03156975,-0.03156978,0.07919531,-0.03156989
AL008733.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL590438.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL354743.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL354743.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGEF16,0.023086932,-0.018260356,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
AL512413.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEGF6,0.009330557,0.021553105,-0.041599605,-0.049835354,-0.06362969,0.18501832,-0.020413531
AL513320.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPRG1L,-0.1275563,0.03508073,-0.02064529,-0.055243064,0.1299559,0.20808023,0.007271144
WRAP73,-0.047643807,0.015517937,0.05729827,-0.03445615,0.010006462,0.09191263,-0.20252444
TP73,-0.02578528,0.025366012,-0.025785215,-0.025785163,-0.025785133,0.08625123,-0.025785109
AL136528.1,-0.018260289,0.032877702,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
AL136528.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDC27,0.015543812,-0.02581406,0.03181706,-0.02581406,-0.025814062,-0.025814064,-0.025814077
SMIM1,-0.03638796,0.014781325,0.01311115,-0.036387686,-0.03638771,0.15712705,-0.036387905
LRRC47,-0.07621643,0.033814017,0.07421723,-0.059028707,-0.048683874,0.23289506,-0.24362111
AL365330.1,0.023086784,-0.018260356,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
CEP104,-0.056449454,0.013909342,0.1404697,-0.122968554,-0.102598056,0.23242013,-0.12468158
DFFB,-0.05343606,-0.0048757805,0.023907721,-0.044403285,0.0041000675,0.21254207,-0.1167149
C1orf174,-0.12451647,-0.0022399935,0.06260414,0.15136565,-0.023829408,0.08466466,-0.20715521
LINC01134,0.04121487,-0.035142127,0.009593137,0.018087374,-0.061027527,-0.01298976,0.05437724
LINC01346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02780,0.009727251,-0.03163828,-0.031638175,0.039190643,0.046773218,-0.031638153,-0.031638168
AL805961.1,-0.018260289,-0.018260356,-0.0182604,-0.018260477,0.060116105,-0.018260475,-0.018260472
LINC01777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL355602.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z98747.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJAP1,-0.025822345,0.02532948,-0.025822425,-0.025822377,0.052574243,-0.025822299,-0.025822395
Z98886.1,-0.018260289,0.03287781,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
BX005132.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL139823.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z98259.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z98259.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z98259.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL365255.1,-0.014680811,-0.048088104,-0.048088107,-0.048088115,0.0073850467,0.32025778,-0.048088253
NPHP4,-0.04052542,0.020018902,0.04912139,-0.096753955,0.066563025,0.07171651,-0.12901591
KCNAB2,-0.105772346,0.041233134,0.05155674,-0.12790841,0.0897449,0.31835166,-0.44145867
CHD5,-0.018260289,0.03287786,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
RPL22,-0.4370293,-0.03088066,0.40845495,-0.17395426,0.1699909,0.61927634,-0.38566086
AL031847.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF207,-0.004144717,0.0010593,-0.04073467,0.02152701,-0.040734485,0.12593326,-0.04073458
ICMT,-0.09672149,0.08454385,0.013277816,-0.0673821,0.08790124,0.0790619,-0.14011735
LINC00337,-0.025826275,0.025325185,-0.0258264,-0.025826387,0.052570727,-0.02582635,-0.025826314
HES3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR153,-0.022128424,-0.051575188,0.05235129,-0.0008173408,0.04991588,0.01841814,-0.0515755
ACOT7,-0.010366621,0.03446303,-0.11136751,0.040896285,-0.09229335,0.22198218,0.042630263
AL031848.2,-0.039558895,-0.0071094194,0.026593477,-0.063179016,-0.02055225,0.22157957,-0.063179016
HES2,-0.018983314,0.011085735,-0.008408435,-0.06583789,0.05199512,0.09545617,-0.06583801
ESPN,0.051123265,-0.0316078,0.0252548,-0.03160768,-0.031607687,-0.031607714,-0.031607788
AL031848.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF25,-0.12431943,-0.12206792,-0.09370682,-0.09789281,-0.1162267,1.1530268,-0.1362076
PLEKHG5,0.015667582,-0.025690127,-0.025690133,-0.025690146,-0.025690153,0.08634607,-0.025690222
NOL9,-0.12614442,0.04065351,0.09487257,-0.11416267,0.031051641,0.28395557,-0.23665494
TAS1R1,-0.036409825,0.04715527,-0.024890348,0.07506411,-0.0012412207,-0.043778565,-0.08775138
ZBTB48,-0.026982296,0.080578424,0.05738369,-0.11522468,-0.030889688,0.04802582,-0.10879607
KLHL21,-0.063076794,0.08004275,0.088057145,-0.055054057,-0.0943157,0.12228018,-0.22637573
PHF13,-0.077304006,0.019585948,0.0066170665,-0.011090657,0.10674378,0.049970936,-0.093263604
THAP3,-0.094730586,-0.044326507,0.10755021,-0.012325126,0.05721777,0.14090307,-0.17432517
DNAJC11,-0.14740463,0.031397205,0.04702771,0.045509953,-0.025765935,0.34511536,-0.4203724
LINC01672,-0.018260289,0.03287756,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
AL591163.1,0.011468049,0.022566535,0.029438064,-0.04831122,-0.04831122,0.023975262,-0.048311185
CAMTA1-DT,-0.041477863,0.10751452,-0.1081389,-0.035383843,0.047745667,0.056245532,0.05538141
CAMTA1,-0.091574386,0.08948547,0.06679124,-0.072487384,0.008999277,0.19330965,-0.5040249
AL512330.1,-0.018260289,-0.018260356,-0.0182604,-0.018260477,0.060115974,-0.018260475,-0.018260472
CAMTA1-IT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z97987.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL365194.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL359881.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL359881.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL359881.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAMP3,-0.10408391,-0.007243293,0.19399124,-0.04821679,-0.01905401,0.07539467,-0.15240696
Z98884.2,-0.04469299,-0.007428609,0.035807185,0.120919004,-0.04469299,-0.04469299,-0.04469299
PER3,-0.045115236,-0.010946034,0.024899254,-0.027645525,0.027766539,0.11958605,-0.05283402
Z98884.1,-0.07511823,0.059538964,0.081720755,-0.030462611,-0.1012546,0.15413441,-0.14000887
UTS2,-0.040791973,0.0025748345,0.005345027,0.02210797,-0.04079156,0.13148978,-0.040791687
TNFRSF9,-0.022813337,0.0064772204,0.03143688,-0.018646333,-0.016368778,0.07244657,-0.09843251
PARK7,-0.25449783,0.020730982,0.15449817,-0.1788612,0.21368927,0.38956365,-0.20338075
AL034417.4,-0.07441132,0.042675596,0.03159201,-0.03532871,-0.004007842,0.13902508,-0.0914578
AL034417.3,-0.04821398,0.026868725,-0.012284709,0.052223258,-0.048214,0.098114304,-0.04821413
ERRFI1,-0.060824133,0.0039121425,0.036973637,0.016433045,0.01651773,0.0058779796,0.08588115
AL034417.2,-0.006854241,-0.028587908,0.007636037,0.025472986,0.032114003,-0.00046290676,-0.057745896
LINC01714,-0.018260289,0.032877717,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
AL358876.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC45A1,-0.040909257,0.04609343,0.024239777,-0.02369938,0.02398853,-0.0128077,-0.0632491
RERE,-0.17469443,-0.024848424,0.14168417,0.03774272,-0.025380738,0.28746527,-0.17473136
RERE-AS1,-0.06514236,-0.03431044,0.12817086,0.0055745617,-0.054361258,0.14400338,-0.21644577
AL357552.2,0.015530065,-0.025828356,-0.025828356,-0.025828354,0.0525683,-0.025828352,-0.025828337
ENO1,-0.44322053,0.09373224,0.33011493,-0.16526636,0.30293995,0.3620897,-0.5358273
ENO1-AS1,0.003608357,0.020015731,-0.0054836497,-0.07529069,-0.005367532,0.109117344,-0.07529071
CA6,-0.070063,-0.046576705,-0.087643,-0.05752239,-0.08764312,0.7078876,-0.08764359
SLC2A7,-0.036483776,0.010912127,0.016419306,-0.03648378,-0.036483783,0.16512537,-0.036483835
SLC2A5,-0.016917765,0.017256552,0.018510928,0.054814164,-0.021169279,-0.063199766,-0.06319953
GPR157,-0.028005408,-0.016380303,-0.037295796,-0.039244235,0.0049278047,0.2845724,-0.13484102
MIR34AHG,-0.048109543,-0.014942564,0.028074995,0.0012549432,0.054080255,-0.048109714,0.23022555
LNCTAM34A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H6PD,-0.072095945,-0.0692827,0.10728823,-0.0438119,0.070316605,0.1798101,-0.21588701
SPSB1,-0.035732925,0.072429,-0.04562612,-0.008332203,0.02758274,0.028606582,-0.08333313
BX323043.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02606,0.039692204,0.008269753,-0.036528397,0.029311702,-0.036528535,-0.036528513,-0.036528416
AL928921.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A33,-0.09885042,0.14099462,-0.100896426,-0.036657188,0.14738505,0.12047749,-0.3513942
TMEM201,-0.0012955681,-0.013742718,-0.0060532214,-0.013311821,0.024714092,0.05715663,-0.07753266
PIK3CD,-0.090552166,-0.054956753,0.12923445,-0.12366881,0.023031384,0.35200322,-0.2228152
PIK3CD-AS1,-0.027427658,-0.054750457,0.046336822,0.034631636,-0.0052890256,0.07529559,-0.05475049
PIK3CD-AS2,-0.017263906,-0.007979294,0.05078767,-0.05018405,-0.02065186,0.16695166,-0.27554184
CLSTN1,-0.17981966,0.023420315,0.09728183,-0.13386418,0.13000342,0.3632385,-0.269598
CTNNBIP1,-0.018668158,0.03486839,0.08519156,-0.04962906,-0.050309177,0.04934473,-0.26903477
AL357140.1,0.056887556,-0.02582746,-0.025827466,-0.02582748,-0.025827488,-0.02582752,-0.02582757
AL357140.4,-0.042294882,0.014319431,0.044771183,-0.025153434,-0.019389804,0.085723154,-0.06563758
LZIC,-0.095408246,-0.057726584,0.13573836,-0.054043967,-0.05915691,0.3504842,-0.17696856
AL357140.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMNAT1,0.013236577,0.016531268,0.09794488,-0.111314505,-0.06523043,0.08232873,-0.22473314
AL603962.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP7,-0.018913707,0.0027132907,0.23573507,-0.17314433,-0.124138445,0.11077599,-0.21566446
UBE4B,-0.039022997,0.037448402,0.17042221,-0.051400207,-0.20368995,0.16045883,-0.28486294
KIF1B,-0.044460416,0.15622923,0.0404585,-0.14573407,-0.0080590295,0.06767492,-0.37518513
AL139424.3,-0.01670533,-0.009911698,0.024861375,-0.0010623808,0.0060630566,0.040420234,-0.08568335
AL139424.2,0.0065508364,0.01351182,0.0204931,-0.051580437,-0.003311988,0.016480396,-0.05158047
PGD,-0.13455568,0.16767664,0.3027566,-0.24117117,-0.12759496,0.032293275,-0.17781675
AL139424.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENPS,-0.039723173,-0.06317262,0.028537102,0.015826048,0.060576934,0.10010196,-0.06317235
CORT,0.056893274,-0.025822641,-0.025822641,-0.025822641,-0.025822641,-0.025822641,-0.025822645
DFFA,-0.16087031,-0.061769273,0.15907523,-0.045241613,0.035785355,0.30254835,-0.060388416
AL354956.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEX14,-0.065500535,0.06372472,0.109735094,-0.15175496,-0.08425564,0.26645634,-0.24245146
AL139423.2,-0.06317775,0.047796477,-0.03565437,0.0160001,0.06523544,0.038443845,-0.06317742
CASZ1,-0.069184996,-0.026370686,0.034301016,0.021342656,0.014211101,0.15784802,-0.09953541
AL139423.1,-0.015749313,0.09009078,-0.048250683,-0.04825079,0.0060097408,0.023088431,-0.04825084
C1orf127,-0.035824027,0.08396485,-0.051438183,-0.043392915,0.097782075,-0.032657865,-0.07533458
TARDBP,-0.18002161,0.015455309,0.16574353,-0.105489224,0.06655047,0.28845355,-0.25328285
MASP2,-0.06058251,-0.031812135,0.03557818,-0.019261522,0.11223262,0.055054616,-0.060582675
AL109811.2,-0.06595579,-0.05121877,0.08812951,-0.022505872,-0.0027265062,0.20848048,-0.14724351
SRM,-0.14561969,-0.04120281,0.116749145,-0.055486873,0.093541905,0.27991503,-0.20263682
EXOSC10,-0.09997802,0.006475354,0.050345853,-0.06674102,0.013898608,0.25153786,-0.020941956
AL109811.1,-0.01406539,0.0033384433,0.123191684,-0.08708337,-0.037629988,0.034561712,-0.1539748
EXOSC10-AS1,-0.031590916,0.019570475,0.026051154,-0.031590745,0.04636626,-0.03159091,-0.031590935
MTOR,-0.10143541,-0.026686456,0.09608956,-0.03925397,0.08377669,0.17332295,-0.25165847
MTOR-AS1,-0.027241841,-0.001308947,-0.031858686,-0.067009635,0.07554402,0.1679815,-0.09328363
ANGPTL7,0.002631933,-0.039527167,-0.008841777,0.010235915,0.009542038,0.08890423,-0.06580209
UBIAD1,-0.05036787,0.012017276,-0.059712376,-0.05506363,0.064046584,0.2912746,-0.20690721
AL031291.1,-0.018260289,0.032877494,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
DISP3,-0.02582822,0.025323719,-0.02582836,-0.02582836,0.0525681,-0.02582836,-0.025828356
AL590989.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL031731.1,-0.04473105,0.073730536,-0.0043322975,-0.044730987,-0.044730972,0.11781812,-0.044730898
FBXO2,-0.025737954,-0.025737999,-0.025738029,0.045077547,-0.025738126,0.08629845,-0.025738144
FBXO44,-0.071803704,0.017139688,-0.009312645,-0.07175125,0.09060639,0.1357833,0.06946075
FBXO6,-0.06231558,-0.02720639,0.051238917,0.005932162,0.039200492,0.08314044,-0.05883537
MAD2L2,-0.09819812,-0.04518293,0.13392337,-0.094370395,0.07254088,0.16655329,-0.048520185
DRAXIN,-0.029304951,-0.04735783,-0.019997256,-0.0034424586,0.03670852,0.06718008,0.32098484
AGTRAP,-0.13180812,0.06653296,0.20993668,-0.062568866,-0.06507458,0.1281826,-0.3960014
C1orf167,0.010368187,-0.012700541,-0.048283227,-0.00070442463,0.11140545,-0.048283573,-0.048283573
AL953897.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTHFR,-0.08581214,-0.0051919287,0.032712813,0.02964148,0.12518212,0.031545043,-0.22959237
CLCN6,-0.08066828,-0.023480799,0.04173758,0.05572592,0.11345712,0.008765967,-0.20920211
NPPA,0.0012120515,0.01985462,-0.012385678,-0.012412773,-0.02944921,0.050114144,-0.03300297
NPPB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
